alpha-Adaptin,maternal
alpha-Est1,maternal
alpha-Est5,maternal
dare,maternal
toc,maternal
BEAF-32,maternal
Caf1,maternal
CanB2,maternal
Cap,maternal
SMC3,maternal
Cdk7,maternal
Cdk8,maternal
Clp,maternal
Cnx99A,maternal
Cpr,maternal
CycB3,maternal
DnaJ-1,maternal
Dref,maternal
Hmu,maternal
Lis-1,maternal
RpL9,maternal
lic,maternal
Mpk2,maternal
Msr-110,maternal
Nak,maternal
nrv1,maternal
rin,maternal
P5cr,maternal
Rab-RP1,maternal
Rab-RP3,maternal
Rab-RP4,maternal
Rab7,maternal
Rab8,maternal
Rab6,maternal
Rbf,maternal
rtGEF,maternal
Rpd3,maternal
ScpX,maternal
Slh,maternal
TfIIEalpha,maternal
Trip1,maternal
Vang,maternal
apt,maternal
ast,maternal
bl,maternal
crq,maternal
csul,maternal
dpa,maternal
dpld,maternal
hrg,maternal
mael,maternal
mod(r),maternal
Tom40,maternal
pgc,maternal
pgc,maternal
phr6-4,maternal
smg,maternal
ATPsyn-Cf6,maternal
ATPsyn-d,maternal
PTP-ER,maternal
H15,maternal
Ipp,maternal
NaPi-T,maternal
Nlp,maternal
Nurf-38,maternal
Oscp,maternal
Past1,maternal
Pdp1,maternal
Pitslre,maternal
ProsMA5,maternal
Ptpa,maternal
Rab1,maternal
Rab4,maternal
RpL29,maternal
Ubp64E,maternal
angel,maternal
dos,maternal
Stat92E,maternal
smi35A,maternal
snRNP69D,maternal
spen,maternal
snRNP70K,maternal
smid,maternal
sktl,maternal
how,maternal
cag,maternal
CG5989,maternal
Nelf-E,maternal
Zn72D,maternal
U2af38,maternal
Scs-fp,maternal
Ric,maternal
Rga,maternal
Rca1,maternal
Ork1,maternal
Nacalpha,maternal
ND75,maternal
ND23,maternal
Mo25,maternal
Mcm5,maternal
Max,maternal
CoVa,maternal
Atu,maternal
roX1,maternal
qm,maternal
lok,maternal
CG4589,maternal
Smg5,maternal
Surf4,maternal
Psn,maternal
Phm,maternal
Cdk9,maternal
ND42,maternal
CG6455,maternal
Ice,maternal
Gcn2,maternal
Ppox,maternal
Cbl,maternal
ATPsyn-gamma,maternal
14-3-3epsilon,maternal
Mcr,maternal
stck,maternal
sra,maternal
rhea,maternal
ran,maternal
pcm,maternal
mre11,maternal
loco,maternal
